nest,site,trt,layorder,removed,year,date,clutch_size,tray_entered,supp_days,num_supp_day,time,length,width,mass
A92B,R,T,2,N,2022,6/24/2022,5,6/23/2022,3,2,14:13,16.30,12.20,1.28
A92B,R,T,3,N,2022,6/24/2022,5,6/23/2022,4,2,14:13,16.55,12.05,1.28
A92B,R,T,4,N,2022,6/24/2022,5,6/23/2022,5,2,14:13,16.65,12.10,1.28
A92B,R,T,5,Y,2022,6/24/2022,5,6/23/2022,6,2,14:13,16.65,12.13,1.34
M19,N,C,1,Y,2020,6/5/20,6,,,,11:18,16.55,12.77,1.44
M19,N,C,2,N,2020,6/6/20,6,,,,10:28,16.65,13.15,1.49
M19,N,C,3,Y,2020,6/7/20,6,,,,10:06,16.63,13.16,1.52
M19,N,C,4,N,2020,6/8/20,6,,,,11:08,16.75,13.30,1.55
M19,N,C,5,Y,2020,6/9/20,6,,,,11:14,15.93,12.86,1.54
M19,N,C,6,N,2020,6/10/20,6,,,,10:28,16.28,12.88,1.58
M2,N,C,1,N,2020,5/10/20,6,,,,11:15,16.60,12.60,1.44
M2,N,C,2,Y,2020,5/11/20,6,,,,13:06,16.80,12.55,1.43
M2,N,C,3,N,2020,5/12/20,6,,,,11:19,16.70,12.83,1.46
M2,N,C,4,Y,2020,5/13/20,6,,,,13:07,16.70,12.80,1.49
M2,N,C,5,N,2020,5/14/20,6,,,,13:26,16.90,12.97,1.47
M2,N,C,6,Y,2020,5/15/20,6,,,,12:12,16.00,12.70,1.41
M22,N,T,1,Y,2020,5/12/20,6,5/6/20,7,7,10:46,16.60,13.20,1.47
M22,N,T,2,N,2020,5/13/20,6,5/6/20,8,7,13:28,16.40,12.75,1.41
M22,N,T,3,N,2020,5/14/20,6,5/6/20,9,7,13:04,16.13,12.60,1.36
M22,N,T,4,Y,2020,5/15/20,6,5/6/20,10,7,11:39,15.90,12.75,1.33
M22,N,T,5,Y,2020,5/16/20,6,5/6/20,11,7,12:15,16.10,12.85,1.40
M22,N,T,6,Y,2020,5/17/20,6,5/6/20,12,7,9:30,16.00,12.95,1.46
M27,N,C,1,Y,2020,6/1/20,6,,,,12:36,16.40,12.95,1.48
M27,N,C,2,Y,2020,6/2/20,6,,,,10:44,15.60,13.00,1.36
M27,N,C,3,N,2020,6/3/20,6,,,,14:50,15.20,12.70,1.32
M27,N,C,4,N,2020,6/4/20,6,,,,11:30,15.63,13.80,1.42
M27,N,C,5,Y,2020,6/5/20,6,,,,11:28,15.87,12.83,1.40
M27,N,C,6,Y,2020,6/6/20,6,,,,11:27,15.60,12.93,1.39
M28,N,T,1,N,2020,5/18/20,6,5/6/20,13,13,10:09,15.10,12.35,1.23
M28,N,T,2,N,2020,5/19/20,6,5/6/20,14,13,10:58,15.90,12.53,1.34
M28,N,T,3,N,2020,5/20/20,6,5/6/20,15,13,11:58,15.83,12.70,1.36
M28,N,T,4,N,2020,5/21/20,6,5/6/20,16,13,13:35,15.75,12.63,1.31
M28,N,T,5,N,2020,5/22/20,6,5/6/20,17,13,12:02,15.77,12.60,1.32
M28,N,T,6,N,2020,5/23/20,6,5/6/20,18,13,10:24,16.17,12.65,1.36
M3-20,N,T,1,Y,2020,5/12/20,6,5/5/20,8,8,11:14,18.00,13.30,1.68
M3-20,N,T,2,N,2020,5/13/20,6,5/5/20,9,8,13:03,17.70,13.33,1.67
M3-20,N,T,3,Y,2020,5/14/20,6,5/5/20,10,8,13:23,17.90,13.40,1.71
M3-20,N,T,4,N,2020,5/15/20,6,5/5/20,11,8,12:10,17.35,13.40,1.66
M3-20,N,T,5,Y,2020,5/16/20,6,5/5/20,12,8,12:37,16.65,13.30,1.58
M3-20,N,T,6,N,2020,5/17/20,6,5/5/20,13,8,9:44,16.95,13.30,1.62
A94,R,C,1,Y,2020,5/12/20,6,,,,9:55,16.20,12.65,1.34
A94,R,C,2,N,2020,5/13/20,6,,,,10:45,17.00,12.80,1.43
A94,R,C,3,Y,2020,5/14/20,6,,,,11:16,16.75,12.90,1.42
A94,R,C,4,N,2020,5/15/20,6,,,,10:01,17.10,13.05,1.45
A94,R,C,5,Y,2020,5/16/20,6,,,,11:15,16.80,13.00,1.46
A94,R,C,6,N,2020,5/17/20,6,,,,8:45,16.70,13.10,1.47
C23-20,U,C,1,N,2020,6/19/20,6,,,,11:17,15.40,11.87,1.15
C23-20,U,C,2,Y,2020,6/20/20,6,,,,8:47,15.63,12.47,1.21
C23-20,U,C,3,N,2020,6/21/20,6,,,,12:05,16.30,12.63,1.36
C23-20,U,C,4,Y,2020,6/22/20,6,,,,9:07,15.80,12.57,1.36
C23-20,U,C,5,N,2020,6/23/20,6,,,,10:40,16.23,12.80,1.37
C23-20,U,C,6,Y,2020,6/24/20,6,,,,9:25,16.55,12.70,1.41
M30-21,N,C,1,N,2021,6/6/21,6,,,,12:25,16.65,12.70,1.42
M30-21,N,C,2,N,2021,6/6/21,6,,,,12.25,16.73,12.80,1.44
M30-21,N,C,3,Y,2021,6/7/21,6,,,,13:48,16.90,12.90,1.49
M30-21,N,C,4,Y,2021,6/8/21,6,,,,12:45,16.80,13.05,1.51
M30-21,N,C,5,N,2021,6/9/21,6,,,,12:53,17.00,13.05,1.52
