nest,site,trt,layorder,removed,year,date,clutch_size,tray_entered,supp_days,num_supp_day,time,length,width,mass
M17-21,N,C,6,Y,2021,5/15/21,7,,,,10:56,16.30,12.90,1.42
M35-21,N,T,1,Y,2021,5/26/21,7,5/23/21,4,4,12:02,15.80,12.00,1.35
M35-21,N,T,2,N,2021,5/27/21,7,5/23/21,5,4,12:11,17.05,12.45,1.37
M35-21,N,T,3,Y,2021,5/28/21,7,5/23/21,6,4,13:01,16.00,12.40,1.33
M35-21,N,T,4,N,2021,5/29/21,7,5/23/21,7,4,10:26,16.30,12.40,1.37
M35-21,N,T,5,Y,2021,5/30/21,7,5/23/21,8,4,9:32,16.00,12.50,1.35
M35-21,N,T,6,N,2021,5/31/21,7,5/23/21,9,4,10:18,16.10,12.40,1.33
M4-21,N,C,1,Y,2021,5/26/21,7,,,,11:42,16.60,12.13,1.33
M4-21,N,C,2,N,2021,5/27/21,7,,,,12:25,16.10,12.05,1.23
M4-21,N,C,3,Y,2021,5/28/21,7,,,,12:34,17.10,12.20,1.40
M4-21,N,C,4,N,2021,5/29/21,7,,,,9:57,17.20,12.55,1.44
M4-21,N,C,5,Y,2021,5/30/21,7,,,,9:15,17.40,12.35,1.45
M4-21,N,C,6,N,2021,5/31/21,7,,,,10:04,17.25,12.60,1.46
M8-21,N,C,1,Y,2021,5/10/21,7,,,,9:10,16.80,12.30,1.37
M8-21,N,C,2,N,2021,5/11/21,7,,,,9:17,17.20,12.50,1.44
M8-21,N,C,3,Y,2021,5/12/21,7,,,,11:31,17.20,12.50,1.44
M8-21,N,C,4,N,2021,5/13/21,7,,,,8:56,17.00,12.70,1.47
M8-21,N,C,5,Y,2021,5/14/21,7,,,,10:45,17.10,12.35,1.42
M8-21,N,C,6,N,2021,5/15/21,7,,,,10:48,16.95,12.75,1.48
A69-21,R,T,1,N,2021,6/6/21,7,5/25/21,13,13,9:50,15.30,12.35,1.22
A69-21,R,T,2,N,2021,6/6/21,7,5/25/21,14,13,9:50,15.75,12.30,1.26
A69-21,R,T,3,N,2021,6/6/21,7,5/25/21,15,13,9:50,16.05,12.20,1.26
A69-21,R,T,4,Y,2021,6/7/21,7,5/25/21,16,13,10:48,15.90,12.40,1.30
A69-21,R,T,5,Y,2021,6/8/21,7,5/25/21,17,13,11:13,15.95,12.25,1.28
A69-21,R,T,6,Y,2021,6/9/21,7,5/25/21,18,13,11:17,16.25,12.60,1.35
C23-21,U,T,1,Y,2021,6/7/21,7,6/3/21,5,5,9:38,16.60,12.10,1.29
C23-21,U,T,2,N,2021,6/8/21,7,6/3/21,6,5,10:25,16.73,12.20,1.35
C23-21,U,T,3,Y,2021,6/9/21,7,6/3/21,7,5,10:16,17.13,12.60,1.44
C23-21,U,T,4,N,2021,6/10/21,7,6/3/21,8,5,13:35,17.30,12.70,1.50
C23-21,U,T,5,Y,2021,6/11/21,7,6/3/21,9,5,9:17,17.10,12.70,1.50
C23-21,U,T,6,N,2021,6/12/21,7,6/3/21,10,5,8:42,17.10,12.65,1.45
M15-22,N,T,1,Y,2022,5/4/2022,7,4/29/2022,6,6,12:45,16.67,13.20,1.52
M15-22,N,T,2,N,2022,5/5/2022,7,4/29/2022,7,6,11:27,16.30,13.30,1.52
M15-22,N,T,3,Y,2022,5/6/2022,7,4/29/2022,8,6,9:23,15.95,13.30,1.48
M15-22,N,T,4,N,2022,5/7/2022,7,4/29/2022,9,6,8:48,16.25,13.40,1.54
M15-22,N,T,5,Y,2022,5/8/2022,7,4/29/2022,10,6,12:52,16.00,13.35,1.49
M15-22,N,T,6,N,2022,5/9/2022,7,4/29/2022,11,6,9:00,16.00,13.20,1.46
M20-22,N,T,1,N,2022,5/2/2022,7,4/29/2022,4,4,8:12,16.50,12.15,1.25
M20-22,N,T,2,Y,2022,5/3/2022,7,4/29/2022,5,4,9:02,16.45,12.50,1.36
M20-22,N,T,3,N,2022,5/4/2022,7,4/29/2022,6,4,12:26,16.50,12.50,1.37
M20-22,N,T,4,Y,2022,5/5/2022,7,4/29/2022,7,4,11:09,16.10,12.60,1.37
M20-22,N,T,5,N,2022,5/6/2022,7,4/29/2022,8,4,9:12,16.57,13.05,1.47
M20-22,N,T,6,Y,2022,5/7/2022,7,4/29/2022,9,4,8:32,16.10,12.85,1.40
M24-22,N,T,1,N,2022,5/24/2022,7,5/22/2022,3,3,11:52,16.60,12.70,1.49
M24-22,N,T,2,Y,2022,5/25/2022,7,5/22/2022,4,3,9:00,16.50,12.70,1.47
M24-22,N,T,3,N,2022,5/26/2022,7,5/22/2022,5,3,11:15,16.60,12.60,1.45
M24-22,N,T,4,Y,2022,5/28/2022,7,5/22/2022,6,3,11:14,16.85,12.50,1.44
M24-22,N,T,5,N,2022,5/29/2022,7,5/22/2022,7,3,10:39,16.80,12.70,1.46
M24-22,N,T,6,Y,2022,5/30/2022,7,5/22/2022,8,3,9:50,17.00,12.70,1.49
M26-22,N,T,1,N,2022,6/6/2022,7,6/6/2022,1,1,15:51,16.05,12.10,1.25
M26-22,N,T,2,Y,2022,6/7/2022,7,6/6/2022,2,1,12:47,15.90,12.55,1.38
M26-22,N,T,3,N,2022,6/8/2022,7,6/6/2022,3,1,10:45,16.50,12.40,1.33
M26-22,N,T,4,Y,2022,6/9/2022,7,6/6/2022,4,1,10:58,16.10,12.90,1.43
M26-22,N,T,5,N,2022,6/10/2022,7,6/6/2022,5,1,9:42,16.05,13.05,1.45
M26-22,N,T,6,Y,2022,6/11/2022,7,6/6/2022,6,1,10:44,16.47,13.00,1.49
M8-22,N,C,1,N,2022,5/8/2022,7,,,,12:59,17.15,12.35,1.36
M8-22,N,C,2,Y,2022,5/9/2022,7,,,,9:05,16.20,12.50,1.38
M8-22,N,C,3,N,2022,5/10/2022,7,,,,9:31,16.30,12.30,1.38
M8-22,N,C,4,Y,2022,5/11/2022,7,,,,7:51,16.40,12.45,1.31
M8-22,N,C,5,N,2022,5/12/2022,7,,,,8:32,16.10,12.40,1.31
M8-22,N,C,6,Y,2022,5/13/2022,7,,,,14:17,16.40,12.40,1.36
A92-22,R,C,1,N,2022,5/6/2022,7,,,,8:33,16.80,11.45,1.21
A92-22,R,C,2,Y,2022,5/7/2022,7,,,,9:50,16.70,11.55,1.20
A92-22,R,C,3,N,2022,5/8/2022,7,,,,9:47,16.50,11.55,1.17
A92-22,R,C,4,Y,2022,5/9/2022,7,,,,8:19,16.50,12.00,1.26
A92-22,R,C,5,N,2022,5/10/2022,7,,,,8:48,15.80,11.80,1.22
A92-22,R,C,6,Y,2022,5/11/2022,7,,,,8:34,16.45,11.75,1.23
C22B,U,C,1,N,2022,5/23/2022,7,,,,13:10,16.00,12.15,1.32
C22B,U,C,2,N,2022,5/24/2022,7,,,,13:10,16.20,12.35,1.37
C22B,U,C,3,Y,2022,5/25/2022,7,,,,10:41,15.90,12.10,1.30
C22B,U,C,4,N,2022,5/26/2022,7,,,,12:14,16.15,12.10,1.31
C22B,U,C,5,Y,2022,5/27/2022,7,,,,15:03,16.00,12.40,1.35
C22B,U,C,6,N,2022,5/28/2022,7,,,,9:39,16.20,12.35,1.38
M20-20,N,C,1,Y,2020,5/3/20,8,,,,11:40,15.85,11.98,1.40
M20-20,N,C,2,N,2020,5/4/20,8,,,,10:27,15.82,12.15,1.54
M20-20,N,C,3,Y,2020,5/5/20,8,,,,12:56,15.83,11.95,1.48
M20-20,N,C,4,N,2020,5/6/20,8,,,,10:16,15.89,11.81,1.44
M20-20,N,C,5,Y,2020,5/7/20,8,,,,12:53,15.60,11.60,1.43
M20-20,N,C,6,N,2020,5/8/20,8,,,,8:58,15.80,12.15,1.58
M30-20,N,T,1,Y,2020,5/13/20,8,5/9/20,5,5,12:08,16.55,12.70,1.30
M30-20,N,T,2,N,2020,5/14/20,8,5/9/20,6,5,12:42,15.30,12.30,1.21
M30-20,N,T,3,N,2020,5/16/20,8,5/9/20,7,5,13:00,15.20,12.25,1.25
M30-20,N,T,4,N,2020,5/17/20,8,5/9/20,8,5,10:01,15.67,12.50,1.28
M30-20,N,T,5,N,2020,5/18/20,8,5/9/20,9,5,10:12,15.80,12.77,1.33
M30-20,N,T,6,N,2020,5/19/20,8,5/9/20,10,5,11:02,15.70,12.50,1.33
A90,R,C,1,Y,2020,5/2/20,8,,,,9:05,15.67,12.11,1.26
A90,R,C,2,N,2020,5/3/20,8,,,,10:22,15.61,12.29,1.26
A90,R,C,3,Y,2020,5/4/20,8,,,,9:38,15.96,12.62,1.37
A90,R,C,4,N,2020,5/5/20,8,,,,10:50,16.04,12.59,1.35
A90,R,C,5,Y,2020,5/6/20,8,,,,9:19,16.18,12.09,1.38
A90,R,C,6,N,2020,5/7/20,8,,,,11:30,16.21,12.61,1.36
A92-20,R,C,1,Y,2020,5/25/20,8,,,,10:15,15.37,12.17,1.23
A92-20,R,C,2,N,2020,5/26/20,8,,,,11:07,15.33,12.27,1.27
A92-20,R,C,3,Y,2020,5/27/20,8,,,,9:29,15.93,12.73,1.37
A92-20,R,C,4,N,2020,5/28/20,8,,,,12:12,16.15,12.77,1.40
A92-20,R,C,5,Y,2020,5/29/20,8,,,,10:01,16.10,12.63,1.39
A92-20,R,C,6,N,2020,5/30/20,8,,,,9:57,16.57,13.00,1.47
A98,R,T,1,N,2020,5/10/20,8,5/8/23,3,3,9:26,15.25,11.95,1.21
A98,R,T,2,Y,2020,5/11/20,8,5/8/23,4,3,14:51,16.10,12.15,1.38
A98,R,T,3,N,2020,5/12/20,8,5/8/23,5,3,9:43,16.70,12.80,1.43
A98,R,T,4,Y,2020,5/13/20,8,5/8/23,6,3,10:36,16.35,12.80,1.41
A98,R,T,5,N,2020,5/14/20,8,5/8/23,7,3,11:00,17.00,12.85,1.49
A98,R,T,6,Y,2020,5/15/20,8,5/8/23,8,3,9:53,16.75,12.90,1.46
M11-21,N,T,1,Y,2021,5/14/21,8,5/5/21,10,10,10:36,15.90,11.80,1.18
M11-21,N,T,2,N,2021,5/15/21,8,5/5/21,11,10,10:45,15.93,11.95,1.21
M11-21,N,T,3,Y,2021,5/16/21,8,5/5/21,12,10,11:26,16.10,11.95,1.23
M11-21,N,T,4,N,2021,5/17/21,8,5/5/21,13,10,11:38,16.95,12.30,1.35
M11-21,N,T,5,Y,2021,5/18/21,8,5/5/21,14,10,11:03,16.10,13.70,1.29
M11-21,N,T,6,N,2021,5/19/21,8,5/5/21,15,10,8:40,16.00,12.25,1.26
A49,R,C,1,Y,2021,5/13/21,8,,,,9:42,16.90,12.35,1.37
A49,R,C,2,N,2021,5/14/21,8,,,,8:44,16.40,12.75,1.40
A49,R,C,3,Y,2021,5/15/21,8,,,,11:35,16.85,12.80,1.47
A49,R,C,4,N,2021,5/16/21,8,,,,9:57,17.30,13.00,1.53
A49,R,C,5,Y,2021,5/17/21,8,,,,10:55,16.95,13.00,1.54
A49,R,C,6,N,2021,5/18/21,8,,,,9:46,16.90,12.90,1.49
M17-22,N,C,1,Y,2022,5/3/2022,8,,,,9:12,17.30,12.90,1.52
M17-22,N,C,2,N,2022,5/4/2022,8,,,,12:37,17.23,12.87,1.59
M17-22,N,C,3,Y,2022,5/5/2022,8,,,,11:19,17.25,12.87,1.54
M17-22,N,C,4,N,2022,5/6/2022,8,,,,9:17,17.00,13.05,1.54
M17-22,N,C,5,Y,2022,5/7/2022,8,,,,8:41,16.90,13.10,1.55
M17-22,N,C,6,Y,2022,5/8/2022,8,,,,12:48,17.05,13.05,1.53
M3-22,N,C,1,Y,2022,5/1/2022,8,,,,9:45,16.50,12.50,1.38
M3-22,N,C,2,N,2022,5/2/2022,8,,,,8:25,17.00,12.50,1.37
M3-22,N,C,3,Y,2022,5/3/2022,8,,,,9:25,16.83,12.55,1.43
M3-22,N,C,4,N,2022,5/4/2022,8,,,,12:56,17.10,12.65,1.45
M3-22,N,C,5,Y,2022,5/5/2022,8,,,,11:47,16.83,12.90,1.51
M3-22,N,C,6,N,2022,5/6/2022,8,,,,9:33,16.90,12.65,1.49
C19-22,U,T,1,N,2022,5/12/2022,8,5/8/2022,5,5,11:24,16.50,12.10,1.25
C19-22,U,T,2,Y,2022,5/13/2022,8,5/8/2022,6,5,12:17,15.85,12.10,1.22
C19-22,U,T,3,N,2022,5/15/2022,8,5/8/2022,7,5,10:07,15.70,12.30,1.27
C19-22,U,T,4,Y,2022,5/16/2022,8,5/8/2022,8,5,9:11,15.30,12.50,1.28
C19-22,U,T,5,N,2022,5/17/2022,8,5/8/2022,9,5,8:25,15.90,12.50,1.35
C19-22,U,T,6,Y,2022,5/18/2022,8,5/8/2022,10,5,10:45,15.73,12.57,1.32
C33-22,U,C,1,N,2022,5/19/2022,8,,,,12:11,15.40,12.65,1.29
C33-22,U,C,2,Y,2022,5/20/2022,8,,,,12:31,16.21,12.66,1.34
C33-22,U,C,3,N,2022,5/21/2022,8,,,,8:59,16.83,12.73,1.33
C33-22,U,C,4,Y,2022,5/22/2022,8,,,,14:35,16.88,12.65,1.37
C33-22,U,C,5,N,2022,5/23/2022,8,,,,10:43,16.64,12.74,1.34
C33-22,U,C,6,Y,2022,5/29/2022,8,,,,12:55,16.76,12.76,1.32
M34-20,N,T,1,N,2020,5/8/20,9,5/6/20,3,3,9:54,15.90,11.65,1.40
M34-20,N,T,2,Y,2020,5/9/20,9,5/6/20,4,3,11:28,15.50,12.00,1.47
M34-20,N,T,3,N,2020,5/10/20,9,5/6/20,5,3,11:46,15.60,12.05,1.51
M34-20,N,T,4,Y,2020,5/11/20,9,5/6/20,6,3,14:01,15.55,12.55,1.54
M34-20,N,T,5,N,2020,5/12/20,9,5/6/20,7,3,11:48,15.85,12.70,1.60
M34-20,N,T,6,N,2020,5/13/20,9,5/6/20,8,3,12:24,16.20,12.70,1.62
F5,R,C,1,N,2020,5/10/20,9,,,,8:40,17.30,12.70,1.52
F5,R,C,2,Y,2020,5/11/20,9,,,,15:33,17.60,12.57,1.47
F5,R,C,3,N,2020,5/12/20,9,,,,9:07,18.00,12.50,1.51
F5,R,C,4,Y,2020,5/13/20,9,,,,11:08,17.45,12.70,1.44
F5,R,C,5,N,2020,5/14/20,9,,,,11:44,18.20,12.55,1.49
F5,R,C,6,Y,2020,5/15/20,9,,,,9:23,17.45,12.63,1.52
C22,U,T,1,Y,2020,5/5/20,9,4/28/20,8,8,9:57,15.46,12.11,1.17
C22,U,T,2,N,2020,5/6/20,9,4/28/20,9,8,12:20,15.22,12.23,1.22
C22,U,T,3,Y,2020,5/7/20,9,4/28/20,10,8,8:37,15.78,12.24,1.26
C22,U,T,4,N,2020,5/8/20,9,4/28/20,11,8,13:20,16.10,12.35,1.29
C22,U,T,5,Y,2020,5/9/20,9,4/28/20,12,8,12:44,15.95,12.20,1.26
C22,U,T,6,N,2020,5/10/20,9,4/28/20,13,8,13:14,15.97,12.30,1.30
A93,R,T,1,Y,2021,6/14/21,9,6/7/21,8,8,10:41,16.55,12.62,1.42
A93,R,T,2,Y,2021,6/15/21,9,6/7/21,9,8,9:30,16.75,13.05,1.47
A93,R,T,3,Y,2021,6/16/21,9,6/7/21,10,8,11:22,16.65,12.95,1.45
A93,R,T,4,N,2021,6/17/21,9,6/7/21,11,8,11:02,16.85,13.25,1.54
A93,R,T,5,N,2021,6/18/21,9,6/7/21,12,8,9:58,16.65,13.15,1.54
A93,R,T,6,N,2021,6/19/21,9,6/7/21,13,8,10:49,16.35,12.95,1.45
