Sample,nest,site,trt,layorder,year,date,time,plate,plate_T4,clutch_size,egg_mass,yolk_mass,cort,test,t4
60,A93,R,T,3,2021,6/16/21,11:22,3,1,9,1.5018,0.26,3.274,8.258,0.359
61,M12,N,T,4,2020,5/18/20,10:32,3,1,7,1.49,0.2843,2.059,3.437,0.832
62,M15-20,N,C,6,2020,5/10/20,10:39,3,1,7,1.44,0.2583,3.666,5.283,6.113
63,C16,U,C,4,2021,7/5/21,11:21,3,2,5,1.5157,0.2798,3.233,9.181,1.221
64,M34-22,N,C,6,2022,6/29/22,12:14,3,2,6,1.5345,0.3589,1.907,6.355,3.305
65,C24,U,T,5,2020,5/23/20,8:25,3,2,7,1.43,0.3041,2.757,5.067,0.138
66,M34-20,N,T,4,2020,5/11/20,14:01,3,2,9,1.24,0.2609,5.247,5.155,2.863
67,M3-20,N,T,5,2020,5/16/20,12:37,3,2,6,1.58,0.3095,2.803,4.659,2.089
68,M11-21,N,T,5,2021,5/18/21,11:03,3,2,8,1.286,0.2873,5.792,6.27,5.193
69,A84,R,T,3,2021,7/6/21,9:02,3,2,5,1.5159,0.2955,2.762,4.748,0.871
70,C23-20,U,C,6,2020,6/24/20,9:25,3,2,6,1.41,0.2572,3.259,13.577,1.626
71,M16,N,T,6,2021,5/26/21,11:17,3,2,7,1.67,0.3421,2.555,5.082,4.189
72,M24-22,N,T,6,2022,5/30/22,9:50,3,2,7,1.4902,0.2974,2.485,4.823,1.951
73,A102,R,T,4,2020,5/27/20,8:38,3,2,7,1.3,0.2939,3.246,8.339,2.441
74,M8-22,N,C,6,2022,5/13/22,14:17,3,2,7,1.3632,0.2471,5.565,6.94,6.2
75,A94,R,C,5,2020,5/16/20,11:15,3,2,6,1.56,0.268,4.619,9.272,3.255
76,C19B,U,C,6,2022,6/24/22,8:43,3,2,6,1.5092,0.2953,4.426,10.911,2.064
77,M9,N,C,6,2020,5/8/20,9:17,3,2,7,1.59,0.3016,2.759,7.378,2.879
78,M1,N,C,3,2020,5/13/20,13:14,3,2,7,1.43,0.2944,3.499,4.057,3.162
79,M5,N,T,4,2020,5/12/20,11:09,3,2,7,1.6,0.353,2.151,5.26,6.431
80,M30-21,N,C,4,2021,6/8/21,12:45,3,2,6,1.5103,0.2874,3.03,7.492,1.03
81,M17-22,N,C,5,2022,5/7/22,8:41,3,2,8,1.5456,0.2813,3.228,9.081,3.086
82,A92-22,R,C,6,2022,5/11/22,8:34,3,2,7,1.2295,0.2303,5.093,7.528,2.047
83,M35-22,N,T,3,2022,5/30/22,9:57,3,2,6,1.3427,0.2667,5.216,7.435,3.151
84,M8-21,N,C,3,2021,5/12/21,11:31,3,2,7,1.439,0.2611,4.002,4.638,3.173
85,A93,R,T,2,2021,6/15/21,9:30,3,2,9,1.5161,0.3396,2.395,4.132,2.44
86,M26-20,N,T,1,2020,5/8/20,9:44,3,2,7,1.4,0.2966,3.79,5.798,3.857
87,M4-21,N,C,3,2021,5/28/21,12:34,3,2,7,1.3974,0.2739,2.567,4.767,5.696
88,M10-22,N,C,5,2022,6/15/22,11:06,3,2,5,1.5373,0.3186,4.297,2.555,6.692
89,M26-22,N,T,4,2022,6/9/22,10:58,3,2,7,1.4292,0.2629,4.583,10.244,1.466
90,M7,N,T,5,2020,5/12/20,11:03,3,2,7,1.33,0.3151,2.681,5.844,6.918
91,A92-22,R,C,2,2022,5/7/22,9:50,3,2,7,1.1992,0.2275,6.312,10.862,1.272
92,M34-22,N,C,1,2022,6/24/22,12:54,4,2,6,1.3641,0.3167,2.53,5.926,0.882
93,C22B,U,C,3,2022,5/25/22,10:41,4,2,7,1.3047,0.2442,5.066,9.222,1.96
94,M27,N,C,2,2020,6/2/20,10:44,4,2,6,1.36,0.3091,3.403,3.609,0.68
95,M28,N,C,2,2022,6/7/22,12:55,4,2,6,1.3076,0.2649,4.519,9.683,1.401
96,M14,N,T,4,2020,5/11/20,12:50,4,2,7,1.49,0.297,3.418,7.737,3.421
97,M7,N,T,3,2020,5/10/20,10:58,4,2,7,1.34,0.2794,3.189,3.992,5.759
98,C18,U,C,5,2021,5/21/21,9:26,4,2,6,1.3586,0.2386,5.352,10.193,2.789
99,M17-22,N,C,3,2022,5/5/22,11:19,4,2,8,1.5406,0.3035,3.957,9.862,1.61
100,M5,N,T,2,2020,5/9/20,10:53,4,2,7,1.38,0.2418,4.777,8.2,6.51
101,A94,R,C,1,2020,5/12/20,9:55,4,2,6,1.44,0.2507,5.497,10.273,0.357
102,M10-20,N,C,5,2020,6/10/20,10:11,4,2,5,1.29,0.2466,5.162,5.999,5.008
103,C19-20,U,C,3,2020,6/8/20,9:29,4,2,7,1.39,0.2862,5.748,10.196,0.369
104,M11-22,N,C,2,2022,6/2/22,12:52,4,2,6,1.2549,0.2644,5.31,9.543,6.449
105,M15-20,N,C,4,2020,5/8/20,9:07,4,2,7,1.42,0.2673,1.921,4.927,6.884
106,M3-20,N,T,3,2020,5/14/20,13:23,4,2,6,1.71,0.3224,3.091,3.892,0.591
107,M35-21,N,T,5,2021,5/30/21,9:32,4,2,7,1.35,0.2963,4.519,9.366,1.835
108,A93,R,T,1,2021,6/14/21,10:41,4,2,9,1.4665,0.2567,4.566,6.586,1.663
109,M3-22,N,C,5,2022,5/5/22,11:47,4,2,8,1.5139,0.2919,4.101,2.405,0.991
110,C22,U,T,1,2020,5/5/20,9:57,4,2,9,1.1,0.2877,3.67,7.955,0.628
111,M14,N,T,2,2020,5/9/20,10:41,4,2,7,1.45,0.3013,3.684,6.254,4.232
